username,score,content,tanggal,label,clean_text
Pengguna Google,5,"oke banget, mantab",2026-05-18 15:14:42,positif,oke banget mantap
Pengguna Google,5,nice,2026-05-18 15:07:08,positif,bagus
Pengguna Google,5,perjalanan praktis,2026-05-18 14:59:45,positif,jalan praktis
Pengguna Google,5,bagus sekali,2026-05-18 14:46:10,positif,bagus sekali
Pengguna Google,5,terbaik karya anak bangsa,2026-05-18 14:42:47,positif,baik karya anak bangsa
Pengguna Google,5,ok bnyak promonya sekarang,2026-05-18 14:29:42,positif,oke bnyak promonya
Pengguna Google,4,tolong untuk developer aplikasi go-jek tolong sistemnya diperbaiki lagi tolong jangan mengira vocalizer adalah virus kuda Troya karena sebenarnya itu adalah mata bagi kami para tunanetra untuk mendengarkan menu-menu makanan tolong diperbaiki lagi ya terima kasih,2026-05-18 14:18:35,positif,tolong developer aplikasi gojek tolong sistem baik tolong jangan vocalizer virus kuda troya tunanetra dengar menumenu makan tolong baik terima kasih
Pengguna Google,5,sangat membantu dan mudah,2026-05-18 14:14:53,positif,sangat bantu mudah
Pengguna Google,5,terbaik🔥,2026-05-18 14:04:12,positif,baik
Pengguna Google,5,puas bnget,2026-05-18 14:01:01,positif,puas bnget
Pengguna Google,5,masih tetap yg terbaik dan asli produk dalam negeri,2026-05-18 14:00:48,positif,baik asli produk negeri
Pengguna Google,1,". kebanyakan notif, sekalinya notif dimatiin notif pengantaran makanan juga ikut mati, hadeh gini aja mesti dikasih tw .trus udah nunggu 2,5 jam an malah gk dpt2 driver dan di cancel otomatis di applikasi, hadeh parah 😌",2026-05-18 14:00:16,negatif,banyak notif sekali notif dimatiin notif antar makan mati hadeh gin mesti kasih tw nunggu jam an tidak driver cancel otomatis applikasi hadeh buruk
Pengguna Google,1,"ini saya order GO-SEND driver nya AFK kayak dalam game online, abis itu orderan dibatalkan.. asem memang driver2 kyk gini kalo ga kalian suspen, lama2 aplikasi ini males saya pakai..",2026-05-18 13:46:17,negatif,order gosend driver afk kayak game online abis order batal asem driver kyk gin kalo tidak suspen aplikasi males pakai
Pengguna Google,5,Baik dan sopan,2026-05-18 13:35:18,positif,sopan
Pengguna Google,5,ok bgt,2026-05-18 13:32:14,positif,oke banget
Pengguna Google,5,aman & tepat waktu,2026-05-18 13:30:23,positif,aman waktu
Pengguna Google,2,"upgrade ke plus malah ga berguna voucher nya, intinya tidak sesuai dengan deskripsi",2026-05-18 13:29:22,negatif,upgrade plus tidak guna voucher inti tidak sesuai deskripsi
Pengguna Google,5,okey,2026-05-18 13:24:57,positif,oke
Pengguna Google,5,"Terimakasih gojek, sangat membantu sekali. Sukses selalu ~",2026-05-18 13:20:31,positif,terimakasih gojek sangat bantu sekali sukses
Pengguna Google,5,paling bisa di andaikan ketika kita lapar dan berpergian,2026-05-18 13:19:50,positif,paling andai lapar pergi
Pengguna Google,5,terimakasih,2026-05-18 13:16:31,positif,terimakasih
Pengguna Google,5,Terbantu sering pakai gosend,2026-05-18 13:07:26,positif,bantu pakai gosend
Pengguna Google,5,bagus. cuma vouchernya suka ga bisa diklaim. huhu,2026-05-18 13:05:12,positif,bagus voucher suka tidak klaim huhu
Pengguna Google,1,"ga niat banget ngasih promo gofood, tulisannya diskon 75% kalo pembayaran pakai paylater, tapi pas udah aktifin paylater promo nya ilang gimna sih gajelas banget",2026-05-18 12:56:13,negatif,tidak niat banget kasih promo gofood tulis diskon kalo bayar pakai paylater tapi pas aktifin paylater promo ilang gimna sih gajelas banget
Pengguna Google,1,Seharusnya bintang konsumen bisa dicek juga bukan hanya supir.,2026-05-18 12:44:21,negatif,bintang konsumen cek bukan supir
Pengguna Google,5,thank you so much!!!!!,2026-05-18 12:40:44,positif,thank you so much
Pengguna Google,1,aplikasi ngga punya otak driver nunggu orderan Berjam-jam ngga dikasih orderan,2026-05-18 12:29:22,negatif,aplikasi tidak otak driver nunggu order berjamjam tidak kasih order
Pengguna Google,5,siip,2026-05-18 12:05:53,positif,siip
Pengguna Google,1,gila pantasan suruh batalin penumpang harus bayar tol trus ongkos gk mau ke potong yg tadi nya 150 jadi 250 tolong ini gmna ko bnyak driver nakal,2026-05-18 12:01:35,negatif,gila pantas suruh batalin tumpang bayar tol ongkos tidak potong tolong gmna ko bnyak driver nakal
Pengguna Google,2,"Banyak membantu sy sampe skrng... cmn bingung fitur ongkir express (harga lebih) di gofood buat apa, klo endingnya juga pengiriman telat sampe 30 menit... ngga dapet kompensasi klo udah status ""Telat""?",2026-05-18 11:56:43,negatif,bantu sampe skrng cmn bingung fitur ongkos express harga lebih gofood endingnya kirim telat sampe menit tidak kompensasi status telat
Pengguna Google,1,KENAPA SUSAH SEKALI DAPAT DRIVER BIAR SUDAH BERHENTI HUJAN? LAPARMA GARA2 TENA DRIVER MAU AMBIL MAKANANKU😭 MANA LAGI SAKIT KA,2026-05-18 11:36:14,negatif,susah sekali driver biar henti hujan laparma gara tena driver ambil makan sakit ka
Pengguna Google,5,oke semua,2026-05-18 11:30:05,positif,oke
Pengguna Google,5,semoga banyak diskon yang banyak,2026-05-18 11:22:05,positif,moga diskon
Pengguna Google,5,keren,2026-05-18 11:11:27,positif,bagus
Pengguna Google,5,Praktis dan memudahkan. Update kenapa selalu besar datanya? Informasi updatenya disampaikan dg gaya bahasa joke yg nggak perlu. 🙏 Sementara hasil updatenya nggak banyak signifikan,2026-05-18 10:52:09,positif,praktis mudah update data informasi updatenya gaya bahasa joke tidak hasil updatenya tidak signifikan
Pengguna Google,5,sering2 kadih promo,2026-05-18 10:40:57,positif,kadih promo
Pengguna Google,5,"sangat membantu, dan memudahkan",2026-05-18 10:32:08,positif,sangat bantu mudah
Pengguna Google,5,ok,2026-05-18 10:27:51,positif,oke
Pengguna Google,5,"Mantap, sat set",2026-05-18 10:17:33,positif,mantap sat set
Pengguna Google,5,uhmmm,2026-05-18 10:16:44,positif,uhmm
Pengguna Google,5,sangat membantu transportadinya,2026-05-18 10:13:56,positif,sangat bantu transportadinya
Pengguna Google,5,keren mantap,2026-05-18 09:55:54,positif,bagus mantap
Pengguna Google,5,mantap sangat membantu,2026-05-18 09:50:25,positif,mantap sangat bantu
Pengguna Google,5,sangat nyaman,2026-05-18 09:42:13,positif,sangat nyaman
Pengguna Google,5,"selama ini lancar"" aja..DTG ny jg tepat waktu..",2026-05-18 09:24:42,positif,lancar ajadtg ny waktu
Pengguna Google,5,sangat membantyu,2026-05-18 09:14:54,positif,sangat membantyu
Pengguna Google,1,saya sering pake gojek tp tidak pernah dpt paylater & gopaypinjam,2026-05-18 08:59:19,negatif,pakai gojek tapi tidak paylater gopaypinjam
Pengguna Google,5,ok banget,2026-05-18 08:58:51,positif,oke banget
Pengguna Google,1,"platform transportasi paling gak bisa diandalkan. hujan ga ada, pagi ga ada driver. Kalah sama platform platform lain",2026-05-18 08:34:27,negatif,platform transportasi paling tidak andal hujan tidak pagi tidak driver kalah platform platform
Pengguna Google,5,makin murah,2026-05-18 08:14:08,positif,murah
Pengguna Google,5,"Memuaskan, waktu penjemputannya",2026-05-18 08:10:52,positif,muas waktu jemput
Pengguna Google,5,oke banget,2026-05-18 07:54:37,positif,oke banget
Pengguna Google,5,murah dan cepat,2026-05-18 07:48:09,positif,murah cepat
Pengguna Google,3,menu list tagihan gopay later n gopay pinjam loading...tampilan tagihan tidak muncul terus loading,2026-05-18 07:39:18,netral,menu list tagih gopay later gopay pinjam loadingtampilan tagih tidak muncul loading
Pengguna Google,5,"Untuk tim Gojek yang baik hati dan tidak sombong, sekitar semingguan ini tiap saya pesan Go Ride selalu lama dapat drivernya. Padahal saya juga sudah aktifkan pencarian prioritas. Tolong diperbaiki ya. Terima kasih.",2026-05-18 07:38:05,positif,tim gojek hati tidak sombong minggu pesan go ride drivernya aktif cari prioritas tolong baik terima kasih
Pengguna Google,5,puas,2026-05-18 07:33:01,positif,puas
Pengguna Google,5,lebih nyaman dan lebih lancar,2026-05-18 07:15:33,positif,lebih nyaman lebih lancar
Pengguna Google,5,gampang nyari gojeknya,2026-05-18 07:13:22,positif,gampang nyari gojek
Pengguna Google,5,sangat terbantu setiap hari anak berangkat dan pulang sekolah pake gojek🤗🤗,2026-05-18 06:46:33,positif,sangat bantu anak berangkat pulang sekolah pakai gojek
Pengguna Google,1,Pakai hemat Driver kagak ada yang mau...percuma ada diskon..ZONK.. sementara beralih ke grab..habisin saldo,2026-05-18 06:45:05,negatif,pakai hemat driver kagak maupercuma diskonzonk alih grabhabisin saldo
Pengguna Google,4,lumayan bagus,2026-05-18 06:44:07,positif,lumayan bagus
Pengguna Google,5,pelayanan dan jadwal datang driver tepat waktu,2026-05-18 06:40:12,positif,layan jadwal driver waktu
Pengguna Google,5,lebih murah dari yang lain,2026-05-18 06:37:46,positif,lebih murah
Pengguna Google,5,oke sekali,2026-05-18 05:43:12,positif,oke sekali
Pengguna Google,5,selalu gojek dari dahulu kala,2026-05-18 05:22:00,positif,gojek
Pengguna Google,1,aplikasi taiiii kena fiktif Mulu anj,2026-05-18 02:44:43,negatif,aplikasi taii fiktif mulu anj
Pengguna Google,5,cepat memberi solusi,2026-05-18 02:41:09,positif,cepat solusi
Pengguna Google,1,"kalau pesan grab motor sama mobil cepet. tapi, kalau pesan makanan itu lama sampe harus nunggu 1jam malah ada yang sampe nunggu tapinga jadi. skrg aku pesen sampe jam set 2 malem belum adanyang ambil sedangkan udh bayar, karna toko udh klik pesanan dibuat JD ga BS di batalkan. apalagi kalau malem2. mana aku LG hamil, suka laper malem2. menurut ku selagi pembeli belum dapet driver, toko jangan klik dulu pesanan dibuat, itu JD susah dibatalin.",2026-05-18 01:33:03,negatif,pesan grab motor mobil cepet tapi pesan makan sampe nunggu jam sampe nunggu tapinga skrg sen sampe jam set malem belum adanyang ambil bayar karna toko klik pesan tidak batal malem hamil suka laper malem ku selagi beli belum driver toko jangan klik pesan susah dibatalin
Pengguna Google,1,"sumpah,ongkirnya gak ngotak sampe 40 rb makanan cuma 30rb an,jdi 70rb lebih ,parah",2026-05-18 01:11:56,negatif,sumpahongkirnya tidak ngotak sampe rb makan rb anjdi rb lebih buruk
Pengguna Google,1,"aplikasi yang sangat nyiksa mitra driver lewat layanan hemat castamer diimingi bayar murah tp sebenarnya justru driver lah yang dibayar murah setiap castamer order layanan hemat mitra driver kena potongan 2kali tanpa caatamer sadari bahwa layanan hemat cuma bikin pihak aplikator dan merugilan mitra driver,hemat layanan yang di sponsor pihak asing ketika dana sudah habis seharuanya sistem hemat di hapus tp pihak aplikator justru mempertahankannya dengan beban biaya di jatuhkan ke mitra driver",2026-05-18 01:05:47,negatif,aplikasi sangat nyiksa mitra driver layan hemat castamer diimingi bayar murah tapi driver bayar murah castamer order layan hemat mitra driver potong tanpa caatamer sadar layan hemat bikin aplikator merugilan mitra driverhemat layan sponsor asing dana habis seharuanya sistem hemat hapus tapi aplikator tahan beban biaya jatuh mitra driver
Pengguna Google,4,"Kpan fitur gopay coin bisa dconvert jd uang saldo gopay yah?? msh menunggu untuk fitur itu d realisasi.. sebagai anak rantau, itu sangat mmbntu sekali klo lg keadaan mndesak , , sejauh ini g ad kendala ttg appnya tp plis bikinin satu fitur itu pliss di masa depan ya,, 🤙👍",2026-05-17 23:31:03,positif,kpan fitur gopay coin dconvert uang saldo gopay yah msh tunggu fitur realisasi anak rantau sangat mmbntu sekali mndesak ad kendala ttg appnya tapi plis bikinin fitur pliss
Pengguna Google,5,penjemputan tepat waktu,2026-05-17 23:09:11,positif,jemput waktu
Pengguna Google,5,asik asik semua njirr ojek nyaa seru,2026-05-17 22:51:31,positif,asik asik njirr ojek nyaa seru
Pengguna Google,5,"JELEK! Apaan mesen makanan sebelum istirahat kelas nyampenya sejamm.. selesai istirahat bru dtg pdhl mesen udh dri sebelum istirahat pas di jam pelajaran ke 2 dimulai. JELEK BGT PARAH! Dulu aplikasi kalian ini aku sering pke krna cepet, skrg nyusahin bgtt! lama! lama ga sekedar lama, tpi LAMA BANGETTT! kepencet aja mesen disini, pas mesen bru inget klo mesen mam disini lama dn ga bisa di batalin, jdi terpaksa nunggu sejam lebih nyampenya",2026-05-17 22:14:15,positif,buruk mesen makan istirahat kelas nyampenya sejamm selesai istirahat bru dtg mesen dri istirahat pas jam ajar buruk banget buruk aplikasi pke cepet skrg nyusahin bgtt tidak dar tapi bangett pencet mesen pas mesen bru inget mesen mam dn tidak batalin paksa nunggu jam lebih nyampenya
Pengguna Google,5,Joss gandoosss..,2026-05-17 22:08:17,positif,bagus gandooss
Pengguna Google,1,tolong perbaiki titik lokasinya masa g bisa pas kasian drivernya nyasar mulu,2026-05-17 21:56:42,negatif,tolong baik titik lokasi pas kasi drivernya nyasar mulu
Pengguna Google,5,good,2026-05-17 21:35:33,positif,bagus
Pengguna Google,2,"aplikasinya bagus, tapi sayang, driver nya attitudenya buruk,lebih baik kasih paham aja sih buat driver yang suka cancel sembarangan!",2026-05-17 21:30:21,negatif,aplikasi bagus tapi sayang driver attitudenya buruklebih kasih paham sih driver suka cancel sembarang
Pengguna Google,5,untuk saat ini masih keren semoga kedepan nya aplikasi gojek bisa tambah keren,2026-05-17 21:25:33,positif,bagus moga depan aplikasi gojek bagus
Pengguna Google,5,driver ramah dan pengirimannya cepat,2026-05-17 21:20:15,positif,driver ramah kirim cepat
Pengguna Google,3,"Maunya apakah kalau pake gocar hemat,,driver berhak tidak menyalakan AC?? Lalu apakah klo pesen gocar xl dapet mesti cayla atau sigra,,",2026-05-17 21:08:01,netral,mau pakai gocar hematdriver hak tidak nyala ac sen gocar xl mesti cayla sigra
Pengguna Google,3,gojek tolong lemot banget kenapa ya??? aplg pas buka gofood,2026-05-17 20:58:53,netral,gojek tolong lambat banget aplg pas buka gofood
Pengguna Google,1,"pesen gofood 1jam digantung orderan saya gara""3×ganti driver.kaya nya gojek harus upgrade fitur biar ga suka""hati driver gantung orderan.sejauh ini saya selalu pesan di oren gapernah dapet kendala seperti ini.nyoba""pesen di gojek malah digantung gini orderan saya pdhl saya beli dan bayar sedih laaa🥺🥺",2026-05-17 20:36:33,negatif,sen gofood jam gantung order gara ganti driverkaya gojek upgrade fitur biar tidak sukahati driver gantung orderansejauh pesan oren gapernah kendala ininyobapesen gojek gantung gin order beli bayar sedih laa
Pengguna Google,5,Jamba! - GoJek,2026-05-17 20:29:57,positif,jamba gojek
Pengguna Google,5,Semogga bisa lgi gojek di hp ini gojeg ini bagus dan aman sya suka transportasi cepat aman,2026-05-17 20:27:26,positif,semogga gojek hp gojeg bagus aman sya suka transportasi cepat aman
Pengguna Google,1,"ngga bisa di cancel padahal gaada driver yang mau jemput, buang buang waktu nungguinnya.",2026-05-17 20:16:51,negatif,tidak cancel gaada driver jemput buang buang waktu nungguinnya
Pengguna Google,5,lebih lengkap dan jelas,2026-05-17 20:00:53,positif,lebih lengkap
Pengguna Google,5,Sangat membantu,2026-05-17 20:00:44,positif,sangat bantu
Pengguna Google,5,best of the best,2026-05-17 19:46:55,positif,baik of the baik
Pengguna Google,1,"aplikasinya lemot, saya sudah topup saldo, tapi pas pembaruan aplikasi saldo saya berkurang",2026-05-17 19:46:16,negatif,aplikasi lambat topup saldo tapi pas baru aplikasi saldo kurang
Pengguna Google,5,"sangat membantu, sangat bermanfaat",2026-05-17 19:43:00,positif,sangat bantu sangat manfaat
Pengguna Google,5,"sejauh ini ok, walau pun dulu pernah kena hack",2026-05-17 19:33:22,positif,oke hack
Pengguna Google,5,Gojek! selalu ada jalan.,2026-05-17 19:25:43,positif,gojek jalan
Pengguna Google,3,"Sayang banget tiap ujan pasti susah dapet driver, padahal gak pake promo apa2. Semanja itu kah para driver gojek..",2026-05-17 19:15:11,netral,sayang banget ujan susah driver tidak pakai promo manja kah driver gojek
Pengguna Google,5,kalo malas masak gofood-in aja,2026-05-17 19:14:23,positif,kalo malas masak gofoodin
Pengguna Google,2,buka gofood selalu lemoootttt parrrahhhhh. shitttttt.,2026-05-17 19:12:58,negatif,buka gofood lemoott parrahh shitt
Pengguna Google,5,aplikasinya bagus bagus sangat membantu sekali,2026-05-17 19:10:09,positif,aplikasi bagus bagus sangat bantu sekali
Pengguna Google,5,Mantap,2026-05-17 19:09:04,positif,mantap
Pengguna Google,5,"I don't know what should I say, pokoknya best sih ini aplikasiii",2026-05-17 19:05:32,positif,dont know what should say pokok baik sih aplikasi
Pengguna Google,3,cukup memnantu,2026-05-17 19:04:32,netral,memnantu
Pengguna Google,4,Dulu kdg sdh pakai dan bagus pelayanannya.. Cepat.,2026-05-17 18:52:36,positif,kdg sdh pakai bagus layan cepat
Pengguna Google,5,bebaskan nadiem,2026-05-17 18:46:55,positif,bebas nadiem
Pengguna Google,4,tolong dalam transportasinya di sediakan chat langsung (bukan hanya chat mendekati) untuk mengatasi pembatalan/cancel yang di suruh oleh driver akibat perjalanan yang teralu jauh,2026-05-17 18:42:56,positif,tolong transportasi sedia chat bukan chat dekat atas pembatalancancel suruh driver akibat jalan alu
Pengguna Google,5,sukses terus,2026-05-17 18:42:09,positif,sukses
Pengguna Google,1,drivernya sering tidak mau ambil orderan tapi tidak mau meng cancel. mau gak mau kita customer yg cancel dan berujung susah dapat kendaraan. kalau memang gak mau kerja jangan nyusahin orang,2026-05-17 18:36:42,negatif,drivernya tidak ambil order tapi tidak meng cancel tidak customer cancel ujung susah kendara tidak jangan nyusahin
Pengguna Google,5,mantap cepat dtngnya,2026-05-17 18:24:05,positif,mantap cepat dtngnya
Pengguna Google,3,driver Bontang susah bgt🥲,2026-05-17 18:22:09,netral,driver bontang susah banget
Pengguna Google,2,sebenernya gojek tu drivernya ada yang buat gofood engga si? gaperna kedapetan driver klo pesen gofood,2026-05-17 18:17:37,negatif,sebenernya gojek tu drivernya gofood tidak si gaperna kedapetan driver sen gofood
Pengguna Google,2,"Fitur ga masalah, masih sat set seperti biasa. Cuma yah, begitulah banyak promo promo mengganggu lewat notif yang belum bisa difilter lewat settingnya. Ini bakal sempurna kalau bisa disetting. Dan tolong, akhir akhir ini banyak sekali dapat mitra driver yang ga bisa baca peta, catetan ga pernah dibaca! Mau praktis tapi malah jadi sulit nyusulin driver. Kalau begini Gojek hampir hilang fungsi utamanya!",2026-05-17 18:05:01,negatif,fitur tidak sat set yah promo promo ganggu notif belum filter settingnya sempurna disetting tolong sekali mitra driver tidak baca peta catetan tidak baca praktis tapi sulit nyusulin driver gojek hilang fungsi utama
Pengguna Google,5,mantap perjalanan ny,2026-05-17 18:04:59,positif,mantap jalan ny
Pengguna Google,1,"apa ini, pesen makan dari jam 6 sore sampe jam 7 malam belum sampai, emosi saya nunggu, driver pada males"" jemput makan, beli makan dikit"" telat, ga cocok sih menurut gw, ngetes kesabaran aja nih apk ajg",2026-05-17 18:04:35,negatif,sen makan jam sore sampe jam malam belum emosi nunggu driver males jemput makan beli makan dikit telat tidak cocok sih ngetes sabar nih aplikasi ajg
Pengguna Google,1,"jelek , mau login lama bgt ber tele tele minimal gausah memperlama prosesnya deh",2026-05-17 17:53:41,negatif,buruk login banget ber tele tele minimal gausah lama proses deh
Pengguna Google,5,"suka banget ama aplikasi ini,pada grenn flag lagih💚",2026-05-17 17:53:37,positif,suka banget ama aplikasi inipada grenn flag lagih
Pengguna Google,4,oklah,2026-05-17 17:53:28,positif,oklah
Pengguna Google,5,Drivernya sabar,2026-05-17 17:52:16,positif,drivernya sabar
Pengguna Google,1,"aplikasi tolol,, ngajuin ap j kg di acc",2026-05-17 17:45:00,negatif,aplikasi tolol ngajuin ap kg acc
Pengguna Google,1,aplikasi sering loadingnya parah lebih lola dari aplikasi abal abal padahal aplikasi lain bahkan buka game pun lancar,2026-05-17 17:27:00,negatif,aplikasi loadingnya buruk lebih lambat aplikasi abal abal aplikasi buka game lancar
Pengguna Google,5,puwass mantap,2026-05-17 17:23:39,positif,puwass mantap
Pengguna Google,5,bagus baik,2026-05-17 17:08:10,positif,bagus
Pengguna Google,2,harusnya walaupun hujan tetep di usahakan ada driver yang mau sih jangan suka ngecancel siapa tau yang pesen lagi butuh driver,2026-05-17 16:35:03,negatif,hujan tetep usaha driver sih jangan suka ngecancel tau sen butuh driver
Pengguna Google,5,kurang puas saya kasing bintang 5 dulu klo dah puas saya tambah kan 20 bintang🤙,2026-05-17 16:29:52,positif,kurang puas kasing bintang puas bintang
Pengguna Google,5,bagus banget,2026-05-17 16:27:21,positif,bagus banget
Pengguna Google,5,trims,2026-05-17 16:22:16,positif,terima kasih
Pengguna Google,1,setiap merchant baik itu resto atau toko wajib input kolom parkir jika memang masuk area parkir berbayar,2026-05-17 16:17:24,negatif,merchant resto toko wajib input kolom parkir area parkir bayar
Pengguna Google,1,"kenapa menunggu driver terus sih pdhl udh pilih yg prioritas, anj emng apk nya",2026-05-17 15:53:24,negatif,tunggu driver sih pilih prioritas anj emng aplikasi
Pengguna Google,5,sangat membatu kami mg selalu jd yg terbaik,2026-05-17 15:52:03,positif,sangat batu mg baik
Pengguna Google,5,josjis,2026-05-17 15:16:31,positif,josjis
Pengguna Google,1,telat mulu nganternya,2026-05-17 15:02:26,negatif,telat mulu nganternya
Pengguna Google,5,perjalanan yg nyaman,2026-05-17 14:59:53,positif,jalan nyaman
Pengguna Google,4,"Tolong dong info saldo di aplikasi gojek biar bisa hide/unhide jangan melotot mulu, kadang gak enak kalo ada yg liat Makasih sebelumnya",2026-05-17 14:40:27,positif,tolong info saldo aplikasi gojek biar hideunhide jangan melotot mulu kadang tidak kalo liat terima kasih
Pengguna Google,5,sangat membantu rakyat dalam perjalanan kemana aja ..,2026-05-17 14:39:10,positif,sangat bantu rakyat jalan mana
Pengguna Google,5,Trima Kasih Ka Kami Sudah Terbantu.,2026-05-17 14:24:02,positif,trima kasih ka bantu
