username,score,content,tanggal,label
Pengguna Google,1,"potongan komisi ke driver 40%, layanan goride reguler dijadikan hemat semua begitu masuk ke driver. tidak sesuai fakta di lapangan . cs bot menyusahkan driver dan pelanggan.",2026-05-18 18:21:11,negatif
Pengguna Google,5,mantap,2026-05-18 18:07:03,positif
Pengguna Google,3,ongkirnya makin mahal sekali..,2026-05-18 18:04:39,netral
Pengguna Google,5,"nyaman, murah dan cepat",2026-05-18 17:32:56,positif
Pengguna Google,5,sangat terbantu dengan adanya gojek,2026-05-18 17:30:53,positif
Pengguna Google,5,bagus banget aku kasih lima bintang,2026-05-18 17:15:39,positif
Pengguna Google,5,"besstt... sukses terus, ttp jadi andalan semua orang.",2026-05-18 17:08:04,positif
Pengguna Google,5,very helpful,2026-05-18 17:07:11,positif
Pengguna Google,5,aku ga download tapi semangat pak nadiem,2026-05-18 16:56:51,positif
Pengguna Google,5,sangat membantu,2026-05-18 16:44:39,positif
Pengguna Google,5,memuaskan,2026-05-18 16:44:21,positif
Pengguna Google,5,baik,2026-05-18 16:44:00,positif
Pengguna Google,5,ngebantu bngt kalo sekolah,2026-05-18 16:41:12,positif
Pengguna Google,5,"Mantab, paten",2026-05-18 16:34:54,positif
Pengguna Google,5,keren gojek,2026-05-18 16:32:59,positif
Pengguna Google,5,pokoknya keren dah ini aplikasi,2026-05-18 16:32:57,positif
Pengguna Google,5,selalu bisa diandalkan,2026-05-18 16:23:49,positif
Pengguna Google,5,mau kemana aja jadi gampang. terimakasih,2026-05-18 16:20:28,positif
Pengguna Google,5,sangat di butuhkan ketika pingin jajan atau makanan yg sangat enak,2026-05-18 16:18:20,positif
Pengguna Google,5,"Lengkap dahh pokoknya,driver juga baik"" banget pokoknya the best dahh",2026-05-18 16:17:17,positif
Pengguna Google,5,mantap,2026-05-18 16:12:49,positif
Pengguna Google,5,mantul,2026-05-18 16:10:04,positif
Pengguna Google,5,good job grab sukses sellu,2026-05-18 16:06:44,positif
Pengguna Google,5,selamat ini layanan Gojek semua baik dan memuaskan,2026-05-18 15:58:11,positif
Pengguna Google,5,murahh murahh,2026-05-18 15:58:07,positif
Pengguna Google,5,banyak promo🥰,2026-05-18 15:49:15,positif
Pengguna Google,5,tolong pihak gopay mempertimbangkan untuk mengembalikan status akun saya dari yg awalnya reguler menjadi basic hanya karna ketidak tahuan saya 👏,2026-05-18 15:39:24,positif
Pengguna Google,5,nyaman,2026-05-18 15:37:59,positif
Pengguna Google,5,cepat,2026-05-18 15:37:18,positif
Pengguna Google,5,👍👍,2026-05-18 15:28:20,positif
Pengguna Google,4,plis di tambah dana aku mau naik gojek tapi gak bisa bayar pake dana harus ovo atau gopay,2026-05-18 15:18:23,positif
Pengguna Google,5,mantep,2026-05-18 15:15:23,positif
Pengguna Google,5,"oke banget, mantab",2026-05-18 15:14:42,positif
Pengguna Google,5,nice,2026-05-18 15:07:08,positif
Pengguna Google,5,perjalanan praktis,2026-05-18 14:59:45,positif
Pengguna Google,5,bagus sekali,2026-05-18 14:46:10,positif
Pengguna Google,5,terbaik karya anak bangsa,2026-05-18 14:42:47,positif
Pengguna Google,5,ok bnyak promonya sekarang,2026-05-18 14:29:42,positif
Pengguna Google,4,tolong untuk developer aplikasi go-jek tolong sistemnya diperbaiki lagi tolong jangan mengira vocalizer adalah virus kuda Troya karena sebenarnya itu adalah mata bagi kami para tunanetra untuk mendengarkan menu-menu makanan tolong diperbaiki lagi ya terima kasih,2026-05-18 14:18:35,positif
Pengguna Google,5,sangat membantu dan mudah,2026-05-18 14:14:53,positif
Pengguna Google,5,terbaik🔥,2026-05-18 14:04:12,positif
Pengguna Google,5,puas bnget,2026-05-18 14:01:01,positif
Pengguna Google,5,masih tetap yg terbaik dan asli produk dalam negeri,2026-05-18 14:00:48,positif
Pengguna Google,1,". kebanyakan notif, sekalinya notif dimatiin notif pengantaran makanan juga ikut mati, hadeh gini aja mesti dikasih tw .trus udah nunggu 2,5 jam an malah gk dpt2 driver dan di cancel otomatis di applikasi, hadeh parah 😌",2026-05-18 14:00:16,negatif
Pengguna Google,5,memuaskan,2026-05-18 13:51:43,positif
Pengguna Google,1,"ini saya order GO-SEND driver nya AFK kayak dalam game online, abis itu orderan dibatalkan.. asem memang driver2 kyk gini kalo ga kalian suspen, lama2 aplikasi ini males saya pakai..",2026-05-18 13:46:17,negatif
Pengguna Google,5,mantap,2026-05-18 13:38:24,positif
Pengguna Google,5,Baik dan sopan,2026-05-18 13:35:18,positif
Pengguna Google,5,ok bgt,2026-05-18 13:32:14,positif
Pengguna Google,5,aman & tepat waktu,2026-05-18 13:30:23,positif
Pengguna Google,2,"upgrade ke plus malah ga berguna voucher nya, intinya tidak sesuai dengan deskripsi",2026-05-18 13:29:22,negatif
Pengguna Google,5,okey,2026-05-18 13:24:57,positif
Pengguna Google,5,"Terimakasih gojek, sangat membantu sekali. Sukses selalu ~",2026-05-18 13:20:31,positif
Pengguna Google,5,paling bisa di andaikan ketika kita lapar dan berpergian,2026-05-18 13:19:50,positif
Pengguna Google,5,terimakasih,2026-05-18 13:16:31,positif
Pengguna Google,5,Terbantu sering pakai gosend,2026-05-18 13:07:26,positif
Pengguna Google,5,bagus. cuma vouchernya suka ga bisa diklaim. huhu,2026-05-18 13:05:12,positif
Pengguna Google,5,nice,2026-05-18 13:01:15,positif
Pengguna Google,1,"ga niat banget ngasih promo gofood, tulisannya diskon 75% kalo pembayaran pakai paylater, tapi pas udah aktifin paylater promo nya ilang gimna sih gajelas banget",2026-05-18 12:56:13,negatif
Pengguna Google,1,Seharusnya bintang konsumen bisa dicek juga bukan hanya supir.,2026-05-18 12:44:21,negatif
Pengguna Google,5,thank you so much!!!!!,2026-05-18 12:40:44,positif
Pengguna Google,1,aplikasi ngga punya otak driver nunggu orderan Berjam-jam ngga dikasih orderan,2026-05-18 12:29:22,negatif
Pengguna Google,5,mantap,2026-05-18 12:20:09,positif
Pengguna Google,5,siip,2026-05-18 12:05:53,positif
Pengguna Google,1,gila pantasan suruh batalin penumpang harus bayar tol trus ongkos gk mau ke potong yg tadi nya 150 jadi 250 tolong ini gmna ko bnyak driver nakal,2026-05-18 12:01:35,negatif
Pengguna Google,2,"Banyak membantu sy sampe skrng... cmn bingung fitur ongkir express (harga lebih) di gofood buat apa, klo endingnya juga pengiriman telat sampe 30 menit... ngga dapet kompensasi klo udah status ""Telat""?",2026-05-18 11:56:43,negatif
Pengguna Google,1,KENAPA SUSAH SEKALI DAPAT DRIVER BIAR SUDAH BERHENTI HUJAN? LAPARMA GARA2 TENA DRIVER MAU AMBIL MAKANANKU😭 MANA LAGI SAKIT KA,2026-05-18 11:36:14,negatif
Pengguna Google,5,oke semua,2026-05-18 11:30:05,positif
Pengguna Google,5,semoga banyak diskon yang banyak,2026-05-18 11:22:05,positif
Pengguna Google,5,keren,2026-05-18 11:11:27,positif
Pengguna Google,5,Praktis dan memudahkan. Update kenapa selalu besar datanya? Informasi updatenya disampaikan dg gaya bahasa joke yg nggak perlu. 🙏 Sementara hasil updatenya nggak banyak signifikan,2026-05-18 10:52:09,positif
Pengguna Google,5,sering2 kadih promo,2026-05-18 10:40:57,positif
Pengguna Google,5,"sangat membantu, dan memudahkan",2026-05-18 10:32:08,positif
Pengguna Google,5,ok,2026-05-18 10:27:51,positif
Pengguna Google,5,mantap,2026-05-18 10:21:03,positif
Pengguna Google,5,"Mantap, sat set",2026-05-18 10:17:33,positif
Pengguna Google,5,uhmmm,2026-05-18 10:16:44,positif
Pengguna Google,5,sangat membantu transportadinya,2026-05-18 10:13:56,positif
Pengguna Google,5,baik,2026-05-18 09:59:23,positif
Pengguna Google,5,keren mantap,2026-05-18 09:55:54,positif
Pengguna Google,5,mantap sangat membantu,2026-05-18 09:50:25,positif
Pengguna Google,5,sangat membantu,2026-05-18 09:43:05,positif
Pengguna Google,5,sangat nyaman,2026-05-18 09:42:13,positif
Pengguna Google,5,"selama ini lancar"" aja..DTG ny jg tepat waktu..",2026-05-18 09:24:42,positif
Pengguna Google,5,sangat membantyu,2026-05-18 09:14:54,positif
Pengguna Google,5,ok,2026-05-18 09:14:31,positif
Pengguna Google,1,saya sering pake gojek tp tidak pernah dpt paylater & gopaypinjam,2026-05-18 08:59:19,negatif
Pengguna Google,5,ok banget,2026-05-18 08:58:51,positif
Pengguna Google,5,sangat membantu,2026-05-18 08:56:40,positif
Pengguna Google,4,mantap,2026-05-18 08:36:23,positif
Pengguna Google,1,"platform transportasi paling gak bisa diandalkan. hujan ga ada, pagi ga ada driver. Kalah sama platform platform lain",2026-05-18 08:34:27,negatif
Pengguna Google,5,nice,2026-05-18 08:14:59,positif
Pengguna Google,5,makin murah,2026-05-18 08:14:08,positif
Pengguna Google,5,"Memuaskan, waktu penjemputannya",2026-05-18 08:10:52,positif
Pengguna Google,5,bagus,2026-05-18 07:55:47,positif
Pengguna Google,5,oke banget,2026-05-18 07:54:37,positif
Pengguna Google,5,murah dan cepat,2026-05-18 07:48:09,positif
Pengguna Google,3,menu list tagihan gopay later n gopay pinjam loading...tampilan tagihan tidak muncul terus loading,2026-05-18 07:39:18,netral
Pengguna Google,5,"Untuk tim Gojek yang baik hati dan tidak sombong, sekitar semingguan ini tiap saya pesan Go Ride selalu lama dapat drivernya. Padahal saya juga sudah aktifkan pencarian prioritas. Tolong diperbaiki ya. Terima kasih.",2026-05-18 07:38:05,positif
Pengguna Google,5,puas,2026-05-18 07:33:01,positif
Pengguna Google,5,lebih nyaman dan lebih lancar,2026-05-18 07:15:33,positif
Pengguna Google,5,gampang nyari gojeknya,2026-05-18 07:13:22,positif
Pengguna Google,5,sangat terbantu setiap hari anak berangkat dan pulang sekolah pake gojek🤗🤗,2026-05-18 06:46:33,positif
Pengguna Google,1,Pakai hemat Driver kagak ada yang mau...percuma ada diskon..ZONK.. sementara beralih ke grab..habisin saldo,2026-05-18 06:45:05,negatif
Pengguna Google,4,lumayan bagus,2026-05-18 06:44:07,positif
Pengguna Google,5,pelayanan dan jadwal datang driver tepat waktu,2026-05-18 06:40:12,positif
Pengguna Google,5,lebih murah dari yang lain,2026-05-18 06:37:46,positif
Pengguna Google,5,bagus,2026-05-18 06:29:22,positif
Pengguna Google,4,ok,2026-05-18 06:01:13,positif
Pengguna Google,5,oke sekali,2026-05-18 05:43:12,positif
Pengguna Google,5,selalu gojek dari dahulu kala,2026-05-18 05:22:00,positif
Pengguna Google,5,puas,2026-05-18 05:15:57,positif
Pengguna Google,5,sangat membantu,2026-05-18 04:52:28,positif
Pengguna Google,5,ok,2026-05-18 04:42:23,positif
Pengguna Google,5,mantap,2026-05-18 03:50:31,positif
Pengguna Google,5,sangat membantu,2026-05-18 03:20:00,positif
Pengguna Google,1,aplikasi taiiii kena fiktif Mulu anj,2026-05-18 02:44:43,negatif
Pengguna Google,5,cepat memberi solusi,2026-05-18 02:41:09,positif
Pengguna Google,1,"kalau pesan grab motor sama mobil cepet. tapi, kalau pesan makanan itu lama sampe harus nunggu 1jam malah ada yang sampe nunggu tapinga jadi. skrg aku pesen sampe jam set 2 malem belum adanyang ambil sedangkan udh bayar, karna toko udh klik pesanan dibuat JD ga BS di batalkan. apalagi kalau malem2. mana aku LG hamil, suka laper malem2. menurut ku selagi pembeli belum dapet driver, toko jangan klik dulu pesanan dibuat, itu JD susah dibatalin.",2026-05-18 01:33:03,negatif
Pengguna Google,1,"sumpah,ongkirnya gak ngotak sampe 40 rb makanan cuma 30rb an,jdi 70rb lebih ,parah",2026-05-18 01:11:56,negatif
Pengguna Google,1,"aplikasi yang sangat nyiksa mitra driver lewat layanan hemat castamer diimingi bayar murah tp sebenarnya justru driver lah yang dibayar murah setiap castamer order layanan hemat mitra driver kena potongan 2kali tanpa caatamer sadari bahwa layanan hemat cuma bikin pihak aplikator dan merugilan mitra driver,hemat layanan yang di sponsor pihak asing ketika dana sudah habis seharuanya sistem hemat di hapus tp pihak aplikator justru mempertahankannya dengan beban biaya di jatuhkan ke mitra driver",2026-05-18 01:05:47,negatif
Pengguna Google,4,"Kpan fitur gopay coin bisa dconvert jd uang saldo gopay yah?? msh menunggu untuk fitur itu d realisasi.. sebagai anak rantau, itu sangat mmbntu sekali klo lg keadaan mndesak , , sejauh ini g ad kendala ttg appnya tp plis bikinin satu fitur itu pliss di masa depan ya,, 🤙👍",2026-05-17 23:31:03,positif
Pengguna Google,5,penjemputan tepat waktu,2026-05-17 23:09:11,positif
Pengguna Google,5,asik asik semua njirr ojek nyaa seru,2026-05-17 22:51:31,positif
Pengguna Google,5,"JELEK! Apaan mesen makanan sebelum istirahat kelas nyampenya sejamm.. selesai istirahat bru dtg pdhl mesen udh dri sebelum istirahat pas di jam pelajaran ke 2 dimulai. JELEK BGT PARAH! Dulu aplikasi kalian ini aku sering pke krna cepet, skrg nyusahin bgtt! lama! lama ga sekedar lama, tpi LAMA BANGETTT! kepencet aja mesen disini, pas mesen bru inget klo mesen mam disini lama dn ga bisa di batalin, jdi terpaksa nunggu sejam lebih nyampenya",2026-05-17 22:14:15,positif
Pengguna Google,5,Joss gandoosss..,2026-05-17 22:08:17,positif
Pengguna Google,1,tolong perbaiki titik lokasinya masa g bisa pas kasian drivernya nyasar mulu,2026-05-17 21:56:42,negatif
Pengguna Google,5,good,2026-05-17 21:35:33,positif
Pengguna Google,2,"aplikasinya bagus, tapi sayang, driver nya attitudenya buruk,lebih baik kasih paham aja sih buat driver yang suka cancel sembarangan!",2026-05-17 21:30:21,negatif
Pengguna Google,5,untuk saat ini masih keren semoga kedepan nya aplikasi gojek bisa tambah keren,2026-05-17 21:25:33,positif
Pengguna Google,5,driver ramah dan pengirimannya cepat,2026-05-17 21:20:15,positif
Pengguna Google,3,"Maunya apakah kalau pake gocar hemat,,driver berhak tidak menyalakan AC?? Lalu apakah klo pesen gocar xl dapet mesti cayla atau sigra,,",2026-05-17 21:08:01,netral
Pengguna Google,3,gojek tolong lemot banget kenapa ya??? aplg pas buka gofood,2026-05-17 20:58:53,netral
Pengguna Google,4,baik,2026-05-17 20:57:05,positif
Pengguna Google,1,"pesen gofood 1jam digantung orderan saya gara""3×ganti driver.kaya nya gojek harus upgrade fitur biar ga suka""hati driver gantung orderan.sejauh ini saya selalu pesan di oren gapernah dapet kendala seperti ini.nyoba""pesen di gojek malah digantung gini orderan saya pdhl saya beli dan bayar sedih laaa🥺🥺",2026-05-17 20:36:33,negatif
Pengguna Google,5,Jamba! - GoJek,2026-05-17 20:29:57,positif
Pengguna Google,5,Semogga bisa lgi gojek di hp ini gojeg ini bagus dan aman sya suka transportasi cepat aman,2026-05-17 20:27:26,positif
Pengguna Google,1,"ngga bisa di cancel padahal gaada driver yang mau jemput, buang buang waktu nungguinnya.",2026-05-17 20:16:51,negatif
Pengguna Google,5,lebih lengkap dan jelas,2026-05-17 20:00:53,positif
Pengguna Google,5,Sangat membantu,2026-05-17 20:00:44,positif
Pengguna Google,5,keren,2026-05-17 20:00:32,positif
Pengguna Google,5,keren,2026-05-17 19:58:41,positif
Pengguna Google,5,best of the best,2026-05-17 19:46:55,positif
Pengguna Google,1,"aplikasinya lemot, saya sudah topup saldo, tapi pas pembaruan aplikasi saldo saya berkurang",2026-05-17 19:46:16,negatif
Pengguna Google,5,"sangat membantu, sangat bermanfaat",2026-05-17 19:43:00,positif
Pengguna Google,5,"sejauh ini ok, walau pun dulu pernah kena hack",2026-05-17 19:33:22,positif
Pengguna Google,5,Gojek! selalu ada jalan.,2026-05-17 19:25:43,positif
Pengguna Google,3,"Sayang banget tiap ujan pasti susah dapet driver, padahal gak pake promo apa2. Semanja itu kah para driver gojek..",2026-05-17 19:15:11,netral
Pengguna Google,5,kalo malas masak gofood-in aja,2026-05-17 19:14:23,positif
Pengguna Google,2,buka gofood selalu lemoootttt parrrahhhhh. shitttttt.,2026-05-17 19:12:58,negatif
Pengguna Google,5,aplikasinya bagus bagus sangat membantu sekali,2026-05-17 19:10:09,positif
Pengguna Google,5,Mantap,2026-05-17 19:09:04,positif
Pengguna Google,5,"I don't know what should I say, pokoknya best sih ini aplikasiii",2026-05-17 19:05:32,positif
Pengguna Google,3,cukup memnantu,2026-05-17 19:04:32,netral
Pengguna Google,4,Dulu kdg sdh pakai dan bagus pelayanannya.. Cepat.,2026-05-17 18:52:36,positif
Pengguna Google,5,bebaskan nadiem,2026-05-17 18:46:55,positif
Pengguna Google,4,tolong dalam transportasinya di sediakan chat langsung (bukan hanya chat mendekati) untuk mengatasi pembatalan/cancel yang di suruh oleh driver akibat perjalanan yang teralu jauh,2026-05-17 18:42:56,positif
Pengguna Google,5,terimakasih,2026-05-17 18:42:13,positif
Pengguna Google,5,sukses terus,2026-05-17 18:42:09,positif
Pengguna Google,1,drivernya sering tidak mau ambil orderan tapi tidak mau meng cancel. mau gak mau kita customer yg cancel dan berujung susah dapat kendaraan. kalau memang gak mau kerja jangan nyusahin orang,2026-05-17 18:36:42,negatif
Pengguna Google,5,mantap cepat dtngnya,2026-05-17 18:24:05,positif
Pengguna Google,3,driver Bontang susah bgt🥲,2026-05-17 18:22:09,netral
Pengguna Google,2,sebenernya gojek tu drivernya ada yang buat gofood engga si? gaperna kedapetan driver klo pesen gofood,2026-05-17 18:17:37,negatif
Pengguna Google,5,mantap,2026-05-17 18:16:40,positif
Pengguna Google,2,"Fitur ga masalah, masih sat set seperti biasa. Cuma yah, begitulah banyak promo promo mengganggu lewat notif yang belum bisa difilter lewat settingnya. Ini bakal sempurna kalau bisa disetting. Dan tolong, akhir akhir ini banyak sekali dapat mitra driver yang ga bisa baca peta, catetan ga pernah dibaca! Mau praktis tapi malah jadi sulit nyusulin driver. Kalau begini Gojek hampir hilang fungsi utamanya!",2026-05-17 18:05:01,negatif
Pengguna Google,5,mantap perjalanan ny,2026-05-17 18:04:59,positif
Pengguna Google,1,"apa ini, pesen makan dari jam 6 sore sampe jam 7 malam belum sampai, emosi saya nunggu, driver pada males"" jemput makan, beli makan dikit"" telat, ga cocok sih menurut gw, ngetes kesabaran aja nih apk ajg",2026-05-17 18:04:35,negatif
Pengguna Google,1,"jelek , mau login lama bgt ber tele tele minimal gausah memperlama prosesnya deh",2026-05-17 17:53:41,negatif
Pengguna Google,5,"suka banget ama aplikasi ini,pada grenn flag lagih💚",2026-05-17 17:53:37,positif
Pengguna Google,4,oklah,2026-05-17 17:53:28,positif
Pengguna Google,5,Drivernya sabar,2026-05-17 17:52:16,positif
Pengguna Google,5,good,2026-05-17 17:46:25,positif
Pengguna Google,1,"aplikasi tolol,, ngajuin ap j kg di acc",2026-05-17 17:45:00,negatif
Pengguna Google,5,ok,2026-05-17 17:42:00,positif
Pengguna Google,5,ok,2026-05-17 17:40:49,positif
Pengguna Google,1,aplikasi sering loadingnya parah lebih lola dari aplikasi abal abal padahal aplikasi lain bahkan buka game pun lancar,2026-05-17 17:27:00,negatif
Pengguna Google,5,puwass mantap,2026-05-17 17:23:39,positif
Pengguna Google,5,bagus baik,2026-05-17 17:08:10,positif
Pengguna Google,5,cepat,2026-05-17 16:56:53,positif
Pengguna Google,2,harusnya walaupun hujan tetep di usahakan ada driver yang mau sih jangan suka ngecancel siapa tau yang pesen lagi butuh driver,2026-05-17 16:35:03,negatif
Pengguna Google,5,kurang puas saya kasing bintang 5 dulu klo dah puas saya tambah kan 20 bintang🤙,2026-05-17 16:29:52,positif
Pengguna Google,5,bagus banget,2026-05-17 16:27:21,positif
Pengguna Google,5,bagus,2026-05-17 16:25:38,positif
Pengguna Google,5,trims,2026-05-17 16:22:16,positif
Pengguna Google,1,setiap merchant baik itu resto atau toko wajib input kolom parkir jika memang masuk area parkir berbayar,2026-05-17 16:17:24,negatif
Pengguna Google,5,ok,2026-05-17 15:59:11,positif
Pengguna Google,1,"kenapa menunggu driver terus sih pdhl udh pilih yg prioritas, anj emng apk nya",2026-05-17 15:53:24,negatif
Pengguna Google,5,keren,2026-05-17 15:52:08,positif
Pengguna Google,5,sangat membatu kami mg selalu jd yg terbaik,2026-05-17 15:52:03,positif
Pengguna Google,5,josjis,2026-05-17 15:16:31,positif
Pengguna Google,5,bagus,2026-05-17 15:13:51,positif
Pengguna Google,1,telat mulu nganternya,2026-05-17 15:02:26,negatif
Pengguna Google,5,perjalanan yg nyaman,2026-05-17 14:59:53,positif
Pengguna Google,4,"Tolong dong info saldo di aplikasi gojek biar bisa hide/unhide jangan melotot mulu, kadang gak enak kalo ada yg liat Makasih sebelumnya",2026-05-17 14:40:27,positif
Pengguna Google,5,sangat membantu rakyat dalam perjalanan kemana aja ..,2026-05-17 14:39:10,positif
Pengguna Google,5,bagus,2026-05-17 14:30:08,positif
Pengguna Google,5,Trima Kasih Ka Kami Sudah Terbantu.,2026-05-17 14:24:02,positif
Pengguna Google,1,"saya sudah sering melakukan pengajuan pemulihan akun di aplikasi tapi jawaban yg diberikan ambigu. seandainya saya orang yang berada saya sudah tuntut pihak gopay karena telah merugikan kami sebagai pengguna, dan ada banyak pengguna gopay yg mengalami hal yg sama seperti yg saya alami. jika tdk ada inisiatif utk pemulihan akun saya berarti pihak gopay dianggap melakukan penggelapan dana pengguna, anda membekukan akun gopay kami secara sepihak itu telah melanggar hukum Asas praduga tak bersalah.",2026-05-17 14:08:03,negatif
Pengguna Google,5,ok,2026-05-17 14:02:21,positif
Pengguna Google,5,yunnipapua.2025,2026-05-17 13:51:03,positif
Pengguna Google,5,"pelayanan cepat, praktis, lancar dan driver ramah menyenangkan, salam sukses selalu untuk gojek",2026-05-17 13:46:29,positif
Pengguna Google,5,selalu dikasih kemudahan pake gojek the best lah pokoknya gojek,2026-05-17 13:40:05,positif
Pengguna Google,3,aplikasi nya lemot,2026-05-17 13:33:26,netral
Pengguna Google,1,"masa lagi buka gofood mau bab aku taro dulu, tiba tiba abis bab udah kepesen sendiri, harusnya ada konfirmasi pin atau sidik jari buat pesen, biar ga gampang kepesen sendiri pas kepencet atau kesentuh benda, mana ga bisa edit menu. Beli ongkir doang jatohnya. masa 50k dapet satu makanan doang. Kecewa banget sih, padahal selalu pesen makanan pake gofood. Jadi ga mood mau makan, nangis in kepesen sendiri.",2026-05-17 13:23:51,negatif
Pengguna Google,5,tidak mengecewakan,2026-05-17 13:23:33,positif
Pengguna Google,5,Pelayanan maksimal,2026-05-17 13:20:14,positif
Pengguna Google,1,"dapet diskon kalo pake gopay doang,giliran diganti cash diskon nya ditarik mending gw uninstall",2026-05-17 13:19:35,negatif
Pengguna Google,3,"aku si suka iy pake gosend gojek tp jujur kecewa sama go car ny... kenapa coba mentang"" pake hemat ngga ada yg terima.. mohon bangt dong perbaiki lagi biar kaya dulu, skrng bnyak pilihan tp ngga bisa di gunakan sama aja boong lah. . masa driver ny sampai chat jangn pake hemat.. sumpah kesel bngt kita sama"" pekerja tp kok gitu bngt",2026-05-17 13:19:35,netral
Pengguna Google,5,bnyak diskon,2026-05-17 13:15:08,positif
Pengguna Google,5,keren bgt,2026-05-17 13:00:34,positif
Pengguna Google,1,aplikasi t4i ngak bisa daftar. uninstal !!!,2026-05-17 12:43:33,negatif
Pengguna Google,5,okee apk sesuai,2026-05-17 12:41:32,positif
Pengguna Google,5,okeeeeeeeeeeeeee,2026-05-17 12:33:20,positif
Pengguna Google,5,mantap,2026-05-17 12:31:47,positif
Pengguna Google,5,sangat membantu,2026-05-17 12:12:02,positif
Pengguna Google,5,sangat membantu sekali apalagi kalau diskonnya banyak,2026-05-17 12:10:13,positif
Pengguna Google,5,selalu senang,2026-05-17 11:55:21,positif
Pengguna Google,5,bagus,2026-05-17 11:52:46,positif
Pengguna Google,5,alhamdulillah gosend sangat membantu pekerjaan kami..,2026-05-17 11:43:18,positif
Pengguna Google,1,"gojek BANGKRUT,uda sepi orderan",2026-05-17 11:34:19,negatif
Pengguna Google,5,𝕞𝕒𝕜𝕒𝕤𝕚 𝕒𝕞𝕒𝕟𝕒𝕙 𝕟𝕪𝕒 𝕪𝕒𝕒,2026-05-17 11:33:27,positif
Pengguna Google,4,mempermudah hidup,2026-05-17 11:29:25,positif
Pengguna Google,2,Td mau gosend barang utk anak di ponpes gak ada drivernya. Sampai 15 menit tunggu tetap gak ada.,2026-05-17 11:23:10,negatif
Pengguna Google,5,Hidup Nadiem !!!!!!,2026-05-17 11:15:41,positif
Pengguna Google,4,kadang agak lama nunggu,2026-05-17 11:08:20,positif
Pengguna Google,5,gojek dulu ya,2026-05-17 10:58:32,positif
Pengguna Google,5,cukup baik banyak mobil go car sudah buruk,2026-05-17 10:49:21,positif
Pengguna Google,4,baik good.....,2026-05-17 10:35:58,positif
Pengguna Google,5,top banget,2026-05-17 10:34:44,positif
Pengguna Google,5,bagus,2026-05-17 10:29:18,positif
Pengguna Google,5,"baguss bgt,SUKAK",2026-05-17 10:29:06,positif
Pengguna Google,1,"Lega rasanya sudah bisa hapus akun Gojek & uninstall dari HP saya, menuh-menuhin memory & ram saja. Masih banyak cara lain untuk bisa bepergian pakai ojek online & pembelian makanan minuman secara online.",2026-05-17 10:26:04,negatif
Pengguna Google,5,ok,2026-05-17 10:17:10,positif
Pengguna Google,5,"mohon maaf saya komen disini, saya driver gojek,karena di aplikasi gojek driver ga direspon dan tidak terjadi perubahan, sudah menggunakan menu bantuan, tetapi tidak ada perubahan, mohon dibaca tolong dong segera perbaiki sistemnya, ini terjadi error sistem, antara driver dan orderan saling tunggu, apakah hanya memprioritaskan beberapa driver, sehingga orderan nungguin di resto, driver lain hanya dijadikan serep, terkadang makanan sampai dingin di resto nunggu driver,di resto ada driver nunggu.",2026-05-17 10:16:33,positif
Pengguna Google,5,sangat bergunaa,2026-05-17 10:11:16,positif
